2015-08-25 14:26:49,686,L133|queue size:0                                                                    
2015-09-07 17:14:31,966,L347|fferr_0   configuration: --enable-gpl --enable-version3 --enable-nonfree --enable-shared --disable-static --enable-runtime-cpudetect --prefix=/root/transcode_build/build/../3rdparty --extra-cflags='-I/root/transcode_build/build/../3rdparty/include -fPIC -D_LARGEFILE64_SOURCE -D_FILE_OFFSET_BITS=64' --extra-ldflags=-L/root/transcode_build/build/../3rdparty/lib --enable-libx264 --enable-libx265 --enable-libfaac --enable-decoder=png --enable-encoder=png --enable-libfreetype --disable-outdevs --disable-ffplay --disable-ffprobe --disable-ffserver --disable-doc --disable-htmlpages --disable-manpages --disable-podpages --disable-txtpages --disable-stripping
2015-09-07 17:14:31,967,L347|fferr_0   libavutil      52. 66.100 / 52. 66.100                                
2015-09-07 17:14:31,967,L347|fferr_0   libavcodec     55. 52.102 / 55. 52.102                                
2015-09-07 17:14:31,967,L347|fferr_0   libavformat    55. 33.100 / 55. 33.100                                
2015-09-07 17:14:31,967,L347|fferr_0   libavdevice    55. 10.100 / 55. 10.100                                
2015-09-07 17:14:31,968,L347|fferr_0   libavfilter     4.  2.100 /  4.  2.100                                
2015-09-07 17:14:31,968,L347|fferr_0   libswscale      2.  5.102 /  2.  5.102                                
2015-09-07 17:14:31,968,L347|fferr_0   libswresample   0. 18.100 /  0. 18.100                                
2015-09-07 17:14:31,968,L347|fferr_0   libpostproc    52.  3.100 / 52.  3.100                                
2015-09-07 17:14:31,975,L347|fferr_0 Guessed Channel Layout for  Input Stream #0.1 : stereo                  
2015-09-07 17:14:31,975,L347|fferr_0 Input #0, asf, from '/data/www/zhangyecms/public/upload/2015-09-07/upload_12ab1e3bed1ca740e10cd8c64bd34db1.wmv':
2015-09-07 17:14:31,975,L347|fferr_0   Metadata:                                                             
2015-09-07 17:14:31,975,L347|fferr_0     encoder         : Lavf53.6.0                                        
2015-09-07 17:14:31,976,L347|fferr_0   Duration: 00:14:17.47, start: 0.000000, bitrate: 671 kb/s             
2015-09-07 17:14:31,976,L347|fferr_0     Stream #0:0: Video: wmv2 (WMV2 / 0x32564D57), yuv420p, 640x480, 24 tbr, 1k tbn, 1k tbc
2015-09-07 17:14:31,976,L347|fferr_0     Stream #0:1: Audio: wmav2 (a[1][0][0] / 0x0161), 44100 Hz, stereo, fltp, 128 kb/s
2015-09-07 17:14:31,981,L347|fferr_0 [swscaler @ 0x1e504e0] deprecated pixel format used, make sure you did set range correctly
2015-09-07 17:14:31,981,L347|fferr_0 Output #0, image2, to '/data/www/zhangyecms/public/outfiles//2015-09-07/upload_12ab1e3bed1ca740e10cd8c64bd34db1.jpg':
2015-09-07 17:14:31,981,L347|fferr_0   Metadata:                                                             
2015-09-07 17:14:31,982,L347|fferr_0     encoder         : Lavf55.33.100                                     
2015-09-07 17:14:31,982,L347|fferr_0     Stream #0:0: Video: mjpeg, yuvj420p, 640x480, q=2-31, 200 kb/s, 90k tbn, 24 tbc
2015-09-07 17:14:31,982,L347|fferr_0 Stream mapping:                                                         
2015-09-07 17:14:31,982,L347|fferr_0   Stream #0:0 -> #0:0 (wmv2 -> mjpeg)                                   
2015-09-07 17:14:31,982,L347|fferr_0 Press [q] to stop, [?] for help                                         
2015-09-07 17:14:52,036,L133|add new file:/data/www/zhangyecms/public/upload/2015-09-07/upload_c49031e4bcc5979d0ff9be6021e91c30.wmv
2015-09-07 17:14:52,036,L133|add new file:/data/www/zhangyecms/public/upload/2015-09-07/upload_5a7f86ecdb485a51e0377de2b4e207a5.wmv
2015-09-07 17:14:52,036,L133|add new file:/data/www/zhangyecms/public/upload/2015-09-07/upload_14b40f0f16bff3de59f254a664dc6baa.wmv
2015-09-07 17:14:52,037,L133|add new file:/data/www/zhangyecms/public/upload/2015-09-07/upload_cee3a1a1d40e382df4a422b3cc578948.wmv
2015-09-07 17:14:52,038,L133|queue size:4                                                                    
2015-09-07 17:14:55,267,L347|fferr_0 frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    [image2 @ 0x1ea56e0] Could not get frame filename number 2 from pattern '/data/www/zhangyecms/public/outfiles//2015-09-07/upload_12ab1e3bed1ca740e10cd8c64bd34db1.jpg' (either set updatefirst or use a pattern like %03d within the filename pattern)
2015-09-07 17:14:55,268,L347|fferr_0 av_interleaved_write_frame(): Invalid argument                          
2015-09-07 17:14:55,268,L347|fferr_0 frame=    2 fps=0.1 q=4.2 Lsize=N/A time=00:00:00.08 bitrate=N/A        
2015-09-07 17:14:55,268,L347|fferr_0 video:65kB audio:0kB subtitle:0 data:0 global headers:0kB muxing overhead -100.033089%
2015-09-07 17:14:55,278,L353|task_0 ======== ffmpeg progress exited (ret:1)(/data/www/zhangyecms/public/upload/2015-09-07/upload_12ab1e3bed1ca740e10cd8c64bd34db1.wmv) ========
2015-09-07 17:14:55,279,L377|post file: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_12ab1e3bed1ca740e10cd8c64bd34db1_352_500k.m3u8
2015-09-07 17:14:55,279,L378|post file: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_12ab1e3bed1ca740e10cd8c64bd34db1.jpg
2015-09-07 17:14:55,291,L133|{"code":0,"message":"操作成功"}                                             
2015-09-07 17:14:55,291,L403|thread_0 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_c49031e4bcc5979d0ff9be6021e91c30.wmv
2015-09-07 17:14:55,291,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_c49031e4bcc5979d0ff9be6021e91c30.wmv
2015-09-07 17:14:55,392,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_c49031e4bcc5979d0ff9be6021e91c30_352_500k.m3u8
2015-09-07 17:14:55,392,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_c49031e4bcc5979d0ff9be6021e91c30_352_500k.m3u8
2015-09-07 17:14:55,494,L170|no dar info in input file, force set aspect to width:height                     
2015-09-07 17:14:55,504,L347|fferr_0 ffmpeg version 2.2 Copyright (c) 2000-2014 the FFmpeg developers        
2015-09-07 17:14:55,504,L347|fferr_0   built on Aug  1 2014 15:47:15 with gcc 4.4.7 (GCC) 20120313 (Red Hat 4.4.7-4)
2015-09-07 17:14:55,505,L347|fferr_0   configuration: --enable-gpl --enable-version3 --enable-nonfree --enable-shared --disable-static --enable-runtime-cpudetect --prefix=/root/transcode_build/build/../3rdparty --extra-cflags='-I/root/transcode_build/build/../3rdparty/include -fPIC -D_LARGEFILE64_SOURCE -D_FILE_OFFSET_BITS=64' --extra-ldflags=-L/root/transcode_build/build/../3rdparty/lib --enable-libx264 --enable-libx265 --enable-libfaac --enable-decoder=png --enable-encoder=png --enable-libfreetype --disable-outdevs --disable-ffplay --disable-ffprobe --disable-ffserver --disable-doc --disable-htmlpages --disable-manpages --disable-podpages --disable-txtpages --disable-stripping
2015-09-07 17:14:55,505,L347|fferr_0   libavutil      52. 66.100 / 52. 66.100                                
2015-09-07 17:14:55,506,L347|fferr_0   libavcodec     55. 52.102 / 55. 52.102                                
2015-09-07 17:14:55,511,L347|fferr_0   libavformat    55. 33.100 / 55. 33.100                                
2015-09-07 17:14:55,512,L347|fferr_0   libavdevice    55. 10.100 / 55. 10.100                                
2015-09-07 17:14:55,512,L347|fferr_0   libavfilter     4.  2.100 /  4.  2.100                                
2015-09-07 17:14:55,512,L347|fferr_0   libswscale      2.  5.102 /  2.  5.102                                
2015-09-07 17:14:55,513,L347|fferr_0   libswresample   0. 18.100 /  0. 18.100                                
2015-09-07 17:14:55,513,L347|fferr_0   libpostproc    52.  3.100 / 52.  3.100                                
2015-09-07 17:14:55,520,L347|fferr_0 Guessed Channel Layout for  Input Stream #0.1 : stereo                  
2015-09-07 17:14:55,520,L347|fferr_0 Input #0, asf, from '/data/www/zhangyecms/public/upload/2015-09-07/upload_c49031e4bcc5979d0ff9be6021e91c30.wmv':
2015-09-07 17:14:55,520,L347|fferr_0   Metadata:                                                             
2015-09-07 17:14:55,521,L347|fferr_0     encoder         : Lavf53.6.0                                        
2015-09-07 17:14:55,521,L347|fferr_0   Duration: 00:14:14.87, start: 0.000000, bitrate: 665 kb/s             
2015-09-07 17:14:55,521,L347|fferr_0     Stream #0:0: Video: wmv2 (WMV2 / 0x32564D57), yuv420p, 640x480, 18 tbr, 1k tbn, 1k tbc
2015-09-07 17:14:55,521,L347|fferr_0     Stream #0:1: Audio: wmav2 (a[1][0][0] / 0x0161), 44100 Hz, stereo, fltp, 128 kb/s
2015-09-07 17:14:55,532,L347|fferr_0 [libx264 @ 0x1007660] using SAR=34/33                                   
2015-09-07 17:14:55,533,L347|fferr_0 [libx264 @ 0x1007660] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2
2015-09-07 17:14:55,540,L347|fferr_0 [libx264 @ 0x1007660] profile Main, level 3.1                           
2015-09-07 17:14:55,548,L347|fferr_0 [libfaac @ 0x1008060] frame_size:1024 samples_input:2048 sample_rate:48000 channels:2 bitRate:24000
2015-09-07 17:14:55,549,L347|fferr_0 Output #0, hls, to '/data/www/zhangyecms/public/outfiles//2015-09-07/upload_c49031e4bcc5979d0ff9be6021e91c30_352_500k.m3u8':
2015-09-07 17:14:55,550,L347|fferr_0   Metadata:                                                             
2015-09-07 17:14:55,550,L347|fferr_0     service_name    : Service1                                          
2015-09-07 17:14:55,550,L347|fferr_0     service_provider: joygo                                             
2015-09-07 17:14:55,550,L347|fferr_0     encoder         : Lavf55.33.100                                     
2015-09-07 17:14:55,551,L347|fferr_0     Stream #0:0: Video: h264 (libx264), yuv420p, 352x272 [SAR 34:33 DAR 4:3], q=-1--1, max. 454 kb/s, 90k tbn, 18 tbc
2015-09-07 17:14:55,551,L347|fferr_0     Stream #0:1: Audio: aac (libfaac), 48000 Hz, stereo, s16, 48 kb/s   
2015-09-07 17:14:55,551,L347|fferr_0 Stream mapping:                                                         
2015-09-07 17:14:55,551,L347|fferr_0   Stream #0:0 -> #0:0 (wmv2 -> libx264)                                 
2015-09-07 17:14:55,552,L347|fferr_0   Stream #0:1 -> #0:1 (wmav2 -> libfaac)                                
2015-09-07 17:14:55,552,L347|fferr_0 Press [q] to stop, [?] for help                                         
2015-09-07 17:15:22,069,L133|queue size:3                                                                    
2015-09-07 17:15:52,100,L133|queue size:3                                                                    
2015-09-07 17:16:22,049,L347|fferr_1 frame=11564 fps= 88 q=-1.0 Lsize=N/A time=00:10:42.97 bitrate=N/A       
2015-09-07 17:16:22,050,L347|fferr_1 video:33390kB audio:5037kB subtitle:0 data:0 global headers:0kB muxing overhead -100.000053%
2015-09-07 17:16:22,051,L347|fferr_1 [libx264 @ 0x24f5c40] frame I:116   Avg QP:23.23  size: 15143           
2015-09-07 17:16:22,051,L347|fferr_1 [libx264 @ 0x24f5c40] frame P:6085  Avg QP:26.83  size:  4399           
2015-09-07 17:16:22,051,L347|fferr_1 [libx264 @ 0x24f5c40] frame B:5363  Avg QP:30.83  size:  1056           
2015-09-07 17:16:22,052,L347|fferr_1 [libx264 @ 0x24f5c40] consecutive B-frames: 10.1% 84.6%  1.8%  0.9%  0.6%  0.4%  0.7%  0.1%  0.0%  0.1%  0.0%  0.1%  0.0%  0.1%  0.0%  0.0%  0.4%
2015-09-07 17:16:22,052,L347|fferr_1 [libx264 @ 0x24f5c40] mb I  I16..4:  7.4%  0.0% 92.6%                   
2015-09-07 17:16:22,052,L347|fferr_1 [libx264 @ 0x24f5c40] mb P  I16..4:  1.5%  0.0%  7.8%  P16..4: 30.0% 28.1% 18.2%  0.0%  0.0%    skip:14.5%
2015-09-07 17:16:22,052,L347|fferr_1 [libx264 @ 0x24f5c40] mb B  I16..4:  0.1%  0.0%  0.4%  B16..8: 38.3% 13.3%  3.8%  direct: 4.4%  skip:39.7%  L0:34.5% L1:52.2% BI:13.3%
2015-09-07 17:16:22,052,L347|fferr_1 [libx264 @ 0x24f5c40] coded y,uvDC,uvAC intra: 81.4% 78.6% 40.1% inter: 29.4% 15.5% 2.6%
2015-09-07 17:16:22,053,L347|fferr_1 [libx264 @ 0x24f5c40] i16 v,h,dc,p: 16% 39% 17% 27%                     
2015-09-07 17:16:22,053,L347|fferr_1 [libx264 @ 0x24f5c40] i4 v,h,dc,ddl,ddr,vr,hd,vl,hu: 22% 20% 18%  6%  7%  7%  7%  6%  7%
2015-09-07 17:16:22,053,L347|fferr_1 [libx264 @ 0x24f5c40] i8c dc,h,v,p: 57% 20% 16%  7%                     
2015-09-07 17:16:22,053,L347|fferr_1 [libx264 @ 0x24f5c40] Weighted P-Frames: Y:7.6% UV:2.0%                 
2015-09-07 17:16:22,053,L347|fferr_1 [libx264 @ 0x24f5c40] ref P L0: 69.7% 18.1%  6.5%  2.2%  1.8%  1.4%  0.3%  0.0%
2015-09-07 17:16:22,054,L347|fferr_1 [libx264 @ 0x24f5c40] ref B L0: 95.8%  2.6%  1.1%  0.5%  0.0%           
2015-09-07 17:16:22,054,L347|fferr_1 [libx264 @ 0x24f5c40] ref B L1: 99.7%  0.3%                             
2015-09-07 17:16:22,054,L347|fferr_1 [libx264 @ 0x24f5c40] kb/s:425.77                                       
2015-09-07 17:16:22,068,L353|task_1 ======== ffmpeg progress exited (ret:0)(/data/www/zhangyecms/public/upload/2015-09-07/upload_1401349c90a606587f26444084e9f261.wmv) ========
2015-09-07 17:16:22,069,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_1401349c90a606587f26444084e9f261_352_500k.m3u8
2015-09-07 17:16:22,129,L133|queue size:3                                                                    
2015-09-07 17:16:22,173,L277|[TRANSCODE_OK] |/data/www/zhangyecms/public/upload/2015-09-07/upload_1401349c90a606587f26444084e9f261.wmv
2015-09-07 17:16:22,183,L347|fferr_1 ffmpeg version 2.2 Copyright (c) 2000-2014 the FFmpeg developers        
2015-09-07 17:16:22,183,L347|fferr_1   built on Aug  1 2014 15:47:15 with gcc 4.4.7 (GCC) 20120313 (Red Hat 4.4.7-4)
2015-09-07 17:16:22,184,L347|fferr_1   configuration: --enable-gpl --enable-version3 --enable-nonfree --enable-shared --disable-static --enable-runtime-cpudetect --prefix=/root/transcode_build/build/../3rdparty --extra-cflags='-I/root/transcode_build/build/../3rdparty/include -fPIC -D_LARGEFILE64_SOURCE -D_FILE_OFFSET_BITS=64' --extra-ldflags=-L/root/transcode_build/build/../3rdparty/lib --enable-libx264 --enable-libx265 --enable-libfaac --enable-decoder=png --enable-encoder=png --enable-libfreetype --disable-outdevs --disable-ffplay --disable-ffprobe --disable-ffserver --disable-doc --disable-htmlpages --disable-manpages --disable-podpages --disable-txtpages --disable-stripping
2015-09-07 17:16:22,184,L347|fferr_1   libavutil      52. 66.100 / 52. 66.100                                
2015-09-07 17:16:22,184,L347|fferr_1   libavcodec     55. 52.102 / 55. 52.102                                
2015-09-07 17:16:22,184,L347|fferr_1   libavformat    55. 33.100 / 55. 33.100                                
2015-09-07 17:16:22,185,L347|fferr_1   libavdevice    55. 10.100 / 55. 10.100                                
2015-09-07 17:16:22,185,L347|fferr_1   libavfilter     4.  2.100 /  4.  2.100                                
2015-09-07 17:16:22,185,L347|fferr_1   libswscale      2.  5.102 /  2.  5.102                                
2015-09-07 17:16:22,185,L347|fferr_1   libswresample   0. 18.100 /  0. 18.100                                
2015-09-07 17:16:22,185,L347|fferr_1   libpostproc    52.  3.100 / 52.  3.100                                
2015-09-07 17:16:22,192,L347|fferr_1 Guessed Channel Layout for  Input Stream #0.1 : stereo                  
2015-09-07 17:16:22,193,L347|fferr_1 Input #0, asf, from '/data/www/zhangyecms/public/upload/2015-09-07/upload_1401349c90a606587f26444084e9f261.wmv':
2015-09-07 17:16:22,193,L347|fferr_1   Metadata:                                                             
2015-09-07 17:16:22,193,L347|fferr_1     encoder         : Lavf53.6.0                                        
2015-09-07 17:16:22,193,L347|fferr_1   Duration: 00:10:42.97, start: 0.000000, bitrate: 665 kb/s             
2015-09-07 17:16:22,194,L347|fferr_1     Stream #0:0: Video: wmv2 (WMV2 / 0x32564D57), yuv420p, 640x480, 18 tbr, 1k tbn, 1k tbc
2015-09-07 17:16:22,194,L347|fferr_1     Stream #0:1: Audio: wmav2 (a[1][0][0] / 0x0161), 44100 Hz, stereo, fltp, 128 kb/s
2015-09-07 17:16:22,200,L347|fferr_1 [swscaler @ 0x8894e0] deprecated pixel format used, make sure you did set range correctly
2015-09-07 17:16:22,200,L347|fferr_1 Output #0, image2, to '/data/www/zhangyecms/public/outfiles//2015-09-07/upload_1401349c90a606587f26444084e9f261.jpg':
2015-09-07 17:16:22,200,L347|fferr_1   Metadata:                                                             
2015-09-07 17:16:22,200,L347|fferr_1     encoder         : Lavf55.33.100                                     
2015-09-07 17:16:22,201,L347|fferr_1     Stream #0:0: Video: mjpeg, yuvj420p, 640x480, q=2-31, 200 kb/s, 90k tbn, 18 tbc
2015-09-07 17:16:22,201,L347|fferr_1 Stream mapping:                                                         
2015-09-07 17:16:22,201,L347|fferr_1   Stream #0:0 -> #0:0 (wmv2 -> mjpeg)                                   
2015-09-07 17:16:22,201,L347|fferr_1 Press [q] to stop, [?] for help                                         
2015-09-07 17:16:39,118,L347|fferr_1 frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    frame=    0 fps=0.0 q=0.0 size=N/A time=00:00:00.00 bitrate=N/A    [image2 @ 0x8de6e0] Could not get frame filename number 2 from pattern '/data/www/zhangyecms/public/outfiles//2015-09-07/upload_1401349c90a606587f26444084e9f261.jpg' (either set updatefirst or use a pattern like %03d within the filename pattern)
2015-09-07 17:16:39,118,L347|fferr_1 av_interleaved_write_frame(): Invalid argument                          
2015-09-07 17:16:39,119,L347|fferr_1 frame=    2 fps=0.1 q=3.9 Lsize=N/A time=00:00:00.11 bitrate=N/A        
2015-09-07 17:16:39,119,L347|fferr_1 video:53kB audio:0kB subtitle:0 data:0 global headers:0kB muxing overhead -100.040894%
2015-09-07 17:16:39,127,L353|task_1 ======== ffmpeg progress exited (ret:1)(/data/www/zhangyecms/public/upload/2015-09-07/upload_1401349c90a606587f26444084e9f261.wmv) ========
2015-09-07 17:16:39,128,L377|post file: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_1401349c90a606587f26444084e9f261_352_500k.m3u8
2015-09-07 17:16:39,128,L378|post file: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_1401349c90a606587f26444084e9f261.jpg
2015-09-07 17:16:39,138,L133|{"code":0,"message":"操作成功"}                                             
2015-09-07 17:16:39,138,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_5a7f86ecdb485a51e0377de2b4e207a5.wmv
2015-09-07 17:16:39,138,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_5a7f86ecdb485a51e0377de2b4e207a5.wmv
2015-09-07 17:16:39,239,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_5a7f86ecdb485a51e0377de2b4e207a5_352_500k.m3u8
2015-09-07 17:16:39,240,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_5a7f86ecdb485a51e0377de2b4e207a5_352_500k.m3u8
2015-09-07 17:16:39,341,L170|no dar info in input file, force set aspect to width:height                     
2015-09-07 17:16:39,354,L347|fferr_1 ffmpeg version 2.2 Copyright (c) 2000-2014 the FFmpeg developers        
2015-09-07 17:16:39,354,L347|fferr_1   built on Aug  1 2014 15:47:15 with gcc 4.4.7 (GCC) 20120313 (Red Hat 4.4.7-4)
2015-09-07 17:16:39,355,L347|fferr_1   configuration: --enable-gpl --enable-version3 --enable-nonfree --enable-shared --disable-static --enable-runtime-cpudetect --prefix=/root/transcode_build/build/../3rdparty --extra-cflags='-I/root/transcode_build/build/../3rdparty/include -fPIC -D_LARGEFILE64_SOURCE -D_FILE_OFFSET_BITS=64' --extra-ldflags=-L/root/transcode_build/build/../3rdparty/lib --enable-libx264 --enable-libx265 --enable-libfaac --enable-decoder=png --enable-encoder=png --enable-libfreetype --disable-outdevs --disable-ffplay --disable-ffprobe --disable-ffserver --disable-doc --disable-htmlpages --disable-manpages --disable-podpages --disable-txtpages --disable-stripping
2015-09-07 17:16:39,355,L347|fferr_1   libavutil      52. 66.100 / 52. 66.100                                
2015-09-07 17:16:39,355,L347|fferr_1   libavcodec     55. 52.102 / 55. 52.102                                
2015-09-07 17:16:39,356,L347|fferr_1   libavformat    55. 33.100 / 55. 33.100                                
2015-09-07 17:16:39,356,L347|fferr_1   libavdevice    55. 10.100 / 55. 10.100                                
2015-09-07 17:16:39,356,L347|fferr_1   libavfilter     4.  2.100 /  4.  2.100                                
2015-09-07 17:16:39,357,L347|fferr_1   libswscale      2.  5.102 /  2.  5.102                                
2015-09-07 17:16:39,357,L347|fferr_1   libswresample   0. 18.100 /  0. 18.100                                
2015-09-07 17:16:39,357,L347|fferr_1   libpostproc    52.  3.100 / 52.  3.100                                
2015-09-07 17:16:39,371,L347|fferr_1 Guessed Channel Layout for  Input Stream #0.1 : stereo                  
2015-09-07 17:16:39,371,L347|fferr_1 Input #0, asf, from '/data/www/zhangyecms/public/upload/2015-09-07/upload_5a7f86ecdb485a51e0377de2b4e207a5.wmv':
2015-09-07 17:16:39,371,L347|fferr_1   Metadata:                                                             
